生物技术与制药工业发展推动小组	生物技術與製藥工業發展推動小組
先天下之忧而忧后天下之乐而乐	先天下之憂而憂后天下之樂而樂
有缘千里来相会无缘对面不相逢	有緣千里來相會無緣對面不相逢
酒逢知己千锺少话不投机半句多	酒逢知己千鍾少話不投機半句多
斯里兰卡民主社会主义共和国	斯里蘭卡民主社會主義共和國
大白日里借不出个干灯盏来	大白日裡借不出個乾燈盞來
宁撞金钟一下不打破鼓三千	寧撞金鐘一下不打破鼓三千
北京汽车制造厂有限公司	北京汽車製造廠有限公司
吃亏的是乖占便宜的是呆	吃虧的是乖占便宜的是呆
国科会晶片设计制作中心	國科會晶片設計製作中心
国际电影制片人协会联盟	國際電影製片人協會聯盟
塔什库尔干塔吉克自治县	塔什庫爾干塔吉克自治縣
君子坦荡荡小人长戚戚	君子坦蕩蕩小人長慼慼
大目干连冥间救母变文	大目乾連冥間救母變文
天无三日晴地无三里平	天無三日晴地無三里平
礼轻人意重千里送鹅毛	禮輕人意重千里送鵝毛
紫云苗族布依族自治县	紫云苗族布依族自治縣
马来亚玻里尼西亚语系	馬來亞玻里尼西亞語系
鼓不打不响钟不撞不鸣	鼓不打不響鐘不撞不鳴
两只脚赶不上一张嘴	兩隻腳趕不上一張嘴
做一天和尚撞一天钟	做一天和尚撞一天鐘
光纤分布式数据介面	光纖分佈式數據介面
图书餐饮复合式餐厅	圖書餐飲複合式餐廳
巴里坤哈萨克自治县	巴里坤哈薩克自治縣
欲善其事必先利其器	慾善其事必先利其器
行万里路胜读万卷书	行萬裡路勝讀萬捲書
要怎么收获先怎么栽	要怎麼收穫先怎麼栽
阿里巴巴与四十大盗	阿里巴巴與四十大盜
不干不淨吃了没病	不乾不淨吃了沒病
丰若有肌柔若无骨	丰若有肌柔若無骨
光纤分布数据接口	光纖分佈數據接口
入口匝道号志管制	入口匝道號誌管制
养儿待老积谷防饥	養兒待老積穀防饑
养儿防老积谷防饥	養兒防老積穀防飢
养子防老积谷防饥	養子防老積穀防飢
养小防老积谷防饥	養小防老積穀防饑
北京国家游泳中心	北京國家游泳中心
卖炭的掉在面缸里	賣炭的掉在麵缸裡
吃饭别忘了种谷人	吃飯別忘了種穀人
四体不勤五谷不分	四體不勤五穀不分
塔什库尔干自治县	塔什庫爾干自治縣
天要下雨娘要嫁人	天要下雨孃要嫁人
天要落雨娘要嫁人	天要落雨孃要嫁人
太阳照在桑干河上	太陽照在桑乾河上
失之毫厘差之千里	失之毫釐差之千里
失之毫厘差以千里	失之毫釐差以千里
失之毫厘谬以千里	失之毫厘謬以千里
拿贼要赃拿奸要双	拿賊要贓拿姦要雙
捉贼见赃捉奸见双	捉賊見贓捉姦見雙
梅里亚姆韦伯斯特	梅里亞姆韋伯斯特
梅里斯达斡尔族区	梅里斯達斡爾族區
欲加之罪何患无词	慾加之罪何患無詞
老骥伏枥志在千里	老驥伏櫪志在千里
耳檐儿当不的胡帽	耳簷兒當不的胡帽
肉毒梭状芽孢杆菌	肉毒梭狀芽孢桿菌
行万里路读万卷书	行萬里路讀萬卷書
行百里者半于九十	行百里者半於九十
见之不取思之千里	見之不取思之千里
见物不取失之千里	見物不取失之千里
见钟不打更去炼铜	見鐘不打更去煉銅
读万卷书行万里路	讀萬卷書行萬里路
谷贵饿农谷贱伤农	穀貴餓農穀賤傷農
金乌西坠玉兔东升	金烏西墜玉兔東昇
铜山西崩洛钟东应	銅山西崩洛鐘東應
顺德者吉逆天者凶	順德者吉逆天者凶
风险与收益的关系	風險與收益的關係
麻雀虽小五脏俱全	麻雀雖小五臟俱全
上梁不正下梁歪	上樑不正下樑歪
于斯纳尔斯贝里	于斯納爾斯貝里
五百姻缘天注定	五百姻緣天註定
全彩干式印表机	全彩乾式印表機
分布式发展模型	分佈式發展模型
分布式拒绝服务	分佈式拒絕服務
前词汇语音加工	前詞彙語音加工
十里长亭无客走	十里長亭無客走
千里姻缘一线牵	千里姻緣一線牽
叮叮当当的婆娘	叮叮噹噹的婆娘
右分枝关系从句	右分枝關係從句
吉里巴斯共和国	吉里巴斯共和國
四库禁毁书丛刋	四庫禁燬書叢刋
塔克拉玛干沙漠	塔克拉瑪干沙漠
外交关系理事会	外交關係理事會
大水冲倒龙王庙	大水沖倒龍王廟
大水冲倒龙王殿	大水沖倒龍王殿
头发胡子一把抓	頭髮鬍子一把抓
巴尔贝里尼宫殿	巴爾貝里尼宮殿
布里斯托尔海峡	布里斯托爾海峽
应收帐款周转率	應收帳款週轉率
拒人于千里之外	拒人於千里之外
拔了萝卜地皮宽	拔了蘿蔔地皮寬
拿着鸡毛当令箭	拿著雞毛當令箭
换算无收获面积	換算無收穫面積
明中舍去暗中来	明中捨去暗中來
有缘千里来相会	有緣千里來相會
木里藏族自治县	木里藏族自治縣
杭州萝卜绍兴种	杭州蘿蔔紹興種
模里西斯共和国	模里西斯共和國
汉弥登钟表公司	漢彌登鐘錶公司
江南机器制造局	江南機器製造局
河里孩儿岸上娘	河裡孩兒岸上孃
牵一发而动全身	牽一髮而動全身
眉毛胡子一把抓	眉毛鬍子一把抓
符拉迪沃斯讬克	符拉迪沃斯託克
索尔兹伯里平原	索爾茲伯里平原
索尔兹伯里石环	索爾茲伯里石環
细雨蒙蒙忆当年	細雨濛濛憶當年
翻手作云复手雨	翻手作雲覆手雨
艾维斯普里斯莱	艾維斯普里斯萊
苏里安提沙洛索	蘇里安提沙洛索
虚拟通道标志符	虛擬通道標誌符
解铃仍须系铃人	解鈴仍須繫鈴人
解铃还是系铃人	解鈴還是繫鈴人
解铃还须系铃人	解鈴還須繫鈴人
计算机集成制造	計算機集成製造
跳梁猖獗之小丑	跳樑猖獗之小醜
银行利害关系人	銀行利害關係人
非游离辐射伤害	非游離輻射傷害
面向对象的技术	面嚮對象的技術
三角巾包扎法	三角巾包紮法
不可以道里计	不可以道里計
两西西里王国	兩西西里王國
乌干达共和国	烏干達共和國
乱搞男女关系	亂搞男女關係
人老精姜老辣	人老精薑老辣
传位于四太子	傳位于四太子
借寇兵赍盗粮	藉寇兵齎盜糧
克里斯汀贝尔	克里斯汀貝爾
克里特克里岛	克里特克里島
克里米亚半岛	克里米亞半島
克里米亚战争	克里米亞戰爭
內脏器官移植	內臟器官移植
分布连结网络	分佈連結網絡
列夫托尔斯泰	列夫托爾斯泰
前车复后车戒	前車覆後車戒
加里宁格勒州	加里寧格勒州
化干戈为玉帛	化干戈為玉帛
北瓦兹里斯坦	北瓦茲里斯坦
卖卦口没量斗	賣卦口沒量斗
双后前兵开局	雙后前兵開局
台中敎育大学	臺中教育大學
台湾敎育学院	臺灣教育學院
吕太后的筵席	呂太后的筵席
启发式敎学法	啟發式教學法
吹胡子瞪眼睛	吹鬍子瞪眼睛
哈比亚里马纳	哈比亞里馬納
喀喇昆仑公路	喀喇崑崙公路
喀喇昆仑山脉	喀喇崑崙山脈
回敎会议组织	回教會議組織
国际关系学院	國際關係學院
国际讬管制度	國際託管制度
圣克里斯多福	聖克里斯多福
圣克里斯托巴	聖克里斯托巴
圣德克旭贝里	聖德克旭貝里
埃克托柏辽兹	埃克托柏遼茲
塔什库尔干乡	塔什庫爾干鄉
塞瓦斯托波尔	塞瓦斯托波爾
复合民族国家	複合民族國家
大元大一统志	大元大一統誌
头巾吊在水里	頭巾弔在水裡
奥特朗托海峡	奧特朗托海峽
如堕五里雾中	如墮五里霧中
姜还是老的辣	薑還是老的辣
媒人口无量斗	媒人口無量斗
字汇判断任务	字彙判斷任務
宾语关系从句	賓語關係從句
崔敬邕墓志铭	崔敬邕墓誌銘
巴里库廷火山	巴里庫廷火山
张黑女墓志铭	張黑女墓誌銘
弹性制造系统	彈性製造系統
心脏搭桥手术	心臟搭橋手術
战略防御倡议	戰略防禦倡議
托马斯阿奎纳	托馬斯阿奎納
抱朴而长吟兮	抱朴而長吟兮
拉克施尔德钟	拉克施爾德鐘
据干而窥井底	據榦而窺井底
斯里兰卡电信	斯里蘭卡電信
斯里巴加湾港	斯里巴加灣港
新喀里多尼亚	新喀里多尼亞
早动手早收获	早動手早收穫
朴资茅斯条约	朴資茅斯條約
李斯特氏杆菌	李斯特氏桿菌
枝不得大于干	枝不得大於榦
柯普里亚诺夫	柯普里亞諾夫
欧几里得原理	歐幾里得原理
止谤莫如自修	止謗莫如自脩
汇业财经集团	滙業財經集團
沈阳师范大学	瀋陽師範大學
没爷娘的祖宗	沒爺孃的祖宗
波里尼西亚人	波里尼西亞人
注入式敎学法	注入式教學法
泽渗漓而下降	澤滲灕而下降
活体肝脏移植	活體肝臟移植
海上台风警报	海上颱風警報
清査不当党产	清查不當黨產
爱情征服一切	愛情征服一切
父母在不远游	父母在不遠游
玻里尼西亚人	玻里尼西亞人
登机手续柜台	登機手續櫃檯
笛卡儿坐标制	笛卡兒座標制
简氏防务周刊	簡氏防務週刊
管人吊脚儿事	管人弔腳兒事
红萝卜炒辣椒	紅蘿蔔炒辣椒
肉毒杆菌毒素	肉毒桿菌毒素
胡萝卜就烧酒	胡蘿蔔就燒酒
苏格兰折耳猫	蘇格蘭摺耳貓
范尼斯特鲁伊	范尼斯特魯伊
萝卜精头上青	蘿蔔精頭上青
蛇绿混杂岩带	蛇綠混雜岩帶
西发里亚条约	西發里亞條約
词汇判断任务	詞彙判斷任務
词汇判断作业	詞彙判斷作業
贝娜齐尔布托	貝娜齊爾布托
费尔干纳槃地	費爾干納槃地
费里克斯布朗	費里克斯布朗
身敎重于言敎	身教重於言教
车里雅宾斯克	車里雅賓斯克
里瓦几亚条约	里瓦幾亞條約
重复启动效应	重複啟動效應
阿斯图里亚斯	阿斯圖里亞斯
陈谷子烂芝麻	陳穀子爛芝麻
面向对象语言	面嚮對象語言
风溼性心脏病	風溼性心臟病
风马牛不相干	風馬牛不相干
马里亚纳群岛	馬里亞納群島
马里安纳海沟	馬里安納海溝
高尔基复合体	高爾基複合體
一沐三捉发	一沐三捉髮
一沐三握发	一沐三握髮
一物克一物	一物剋一物
上不了台面	上不了檯面
上不得台盘	上不得檯盤
不干涉主义	不干涉主義
不正当关系	不正當關係
东加里曼丹	東加里曼丹
东芝医疗系	東芝醫療繫
中型钟表面	中型鐘表面
临海水土志	臨海水土誌
乌苏里斯克	烏蘇里斯克
乌里雅苏台	烏里雅蘇臺
乱哄不过来	亂鬨不過來
二里头文化	二里頭文化
二项式系数	二項式係數
